"Name","epoch/val_categorical_accuracy (Max)","epoch/categorical_accuracy (Max)","State","Notes","User","Tags","Created","Runtime","Sweep","T_max","epochs","features","max_lr","min_lr","scheduler","train_size","unique_classes","val_size","video_length","epoch/categorical_crossentropy","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/val_categorical_crossentropy","epoch/val_loss"
"AK-BGRU256-LR-Dense256-gelu-cls=13","0.6840000152587891","0.9637647271156312","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f623871b310>","mlewand","","2024-04-22T20:09:04.000Z","1377","","101","200","all","0.0001","0.00005","cosineAnnealer","4250","13","750","15","","199","0.000025072540665860288","0.29544296860694885","","1.2677463293075562"
"AK-BGRU128-LR-Dense256-gelu-cls=13","0.6866666674613953","0.934823513031006","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f626292f350>","mlewand","","2024-04-22T19:50:29.000Z","1112","","101","200","all","0.0001","0.00005","cosineAnnealer","4250","13","750","15","","199","0.000025072540665860288","0.3566940426826477","","1.1573573350906372"
"AK-BGRU64-LR-Dense256-gelu-cls=13","0.6986666917800903","0.8941176533699036","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f62901f3dd0>","mlewand","","2024-04-22T19:26:47.000Z","1419","","101","200","all","0.0001","0.00005","cosineAnnealer","4250","13","750","15","","199","0.000025072540665860288","0.4413819909095764","","1.03643798828125"
"AK-BGRU32-LR-Dense256-gelu-cls=13","0.7026666402816772","0.8465882539749146","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f6319231b10>","mlewand","","2024-04-22T19:05:02.000Z","1303","","101","200","all","0.0001","0.00005","cosineAnnealer","4250","13","750","15","","199","0.000025072540665860288","0.5615153312683105","","0.9381036758422852"
"AK-BGRU16-LR-Dense256-gelu-cls=13","0.6773333549499512","0.783294141292572","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f62c0d25710>","mlewand","","2024-04-22T18:43:12.000Z","1307","","101","200","all","0.0001","0.00005","cosineAnnealer","4250","13","750","15","","199","0.000025072540665860288","0.7389729619026184","","0.9819716811180116"
"AK-BLSTM256-LR-Dense256-gelu-cls=13","0.6453333497047424","0.9583529233932496","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f6308956b90>","mlewand","","2024-04-22T18:23:43.000Z","1166","","101","200","all","0.0001","0.00005","cosineAnnealer","4250","13","750","15","","199","0.000025072540665860288","0.3089260756969452","","1.6028844118118286"
"AK-BLSTM128-LR-Dense256-gelu-cls=13","0.6613333225250244","0.9263529181480408","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f631b9e90d0>","mlewand","","2024-04-22T18:01:22.000Z","1338","","101","200","all","0.0001","0.00005","cosineAnnealer","4250","13","750","15","","199","0.000025072540665860288","0.3719162344932556","","1.2880688905715942"
"AK-BLSTM64-LR-Dense256-gelu-cls=13","0.690666675567627","0.8976470828056335","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f63096271d0>","mlewand","","2024-04-22T17:36:58.000Z","1461","","101","200","all","0.0001","0.00005","cosineAnnealer","4250","13","750","15","","199","0.000025072540665860288","0.4363222420215606","","1.16502583026886"
"AK-BLSTM32-LR-Dense256-gelu-cls=13","0.6653333306312561","0.8465882539749146","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f63b1af4b10>","mlewand","","2024-04-22T17:15:11.000Z","1305","","101","200","all","0.0001","0.00005","cosineAnnealer","4250","13","750","15","","199","0.000025072540665860288","0.5567706227302551","","1.102463960647583"
"AK-BLSTM16-LR-Dense256-gelu-cls=13","0.6613333225250244","0.7875294089317322","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f63a09474d0>","mlewand","","2024-04-22T16:50:28.000Z","1481","","101","200","all","0.0001","0.00005","cosineAnnealer","4250","13","750","15","","199","0.000025072540665860288","0.6881956458091736","","1.0872373580932615"
"AK-GRU512-LR-Dense256-gelu-cls=13","0.6826666593551636","0.9164705872535706","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f63a01d3dd0>","mlewand","","2024-04-22T16:38:45.000Z","701","","101","200","all","0.0001","0.00005","cosineAnnealer","4250","13","750","15","","199","0.000025072540665860288","0.3571692407131195","","1.2884804010391235"
